r-w-ratio,spinlock,carray,raw,dpdk_lpm,ebpf_lpm
1,2.91,2.45,10.79
2,2.90,4.30,19.59
4,3.01,7.19,39.80
8,2.97,10.39,79.73
16,3.10,18.11,173.00
32,2.95,35.25,203.03
64,3.03,80.38,221.21
128,2.95,115.97,221.21
256,2.92,143.93,224.32
512,2.94,157.59,221.34
1024,2.98,168.98,216.31
